Country name,Happiness score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Dystopia + residual
Serbia,5778.20015,988.181829,1327.448964,828.403294,395.428419,150.28289,59.447147,2029.040098
Bolivia,5747.499943,730.976343,1142.350554,662.445664,574.4645,138.375074,72.942637,2425.928593
Pakistan,5693.29977,616.799474,872.979581,469.933242,405.421734,228.705063,122.592121,2976.876736
Paraguay,5692.100048,897.990823,1368.19756,735.869646,586.510062,204.299241,65.077379,1834.12528
Dominican Republic,5689.199924,983.191848,1328.888893,741.901696,562.8739,112.196781,115.945682,1844.246864
Bosnia and Herzegovina,5674.099922,918.39546,1203.986526,813.928187,305.365741,264.005244,1.172487,2167.24205
Moldova,5607.500076,707.916796,1237.312198,713.299453,389.571488,174.049184,14.378744,2370.968342
Tajikistan,5555.699825,474.874616,1218.377709,680.594802,521.141171,182.417125,221.779913,2256.50835
Montenegro,5546.10014,1010.150075,1265.657902,839.028895,303.223848,149.01033,98.435111,1880.565882
Russia,5546.000004,1126.999617,1378.644109,680.44591,399.499595,99.041916,45.699362,1815.716743
Kyrgyzstan,5541.500092,513.180971,1341.036677,680.645883,614.617765,301.37074,30.466691,2060.206652
Belarus,5539.899826,1018.854499,1387.13932,752.58857,290.755868,89.93306,193.607435,1806.9911
North Cyprus,5535.50005,1212.79943,1183.089137,1026.124597,477.885723,199.160054,199.802905,1236.68766
Greece,5514.999866,1128.070116,1168.973565,979.431748,173.516348,0,48.844352,2016.179085
Hong Kong S.A.R. of China,5510.399818,1376.746058,1243.584275,1136.630654,459.356517,288.280904,332.485437,673.293114
Croatia,5504.700184,1109.024286,1311.264873,900.575578,381.456882,113.998979,12.325006,1676.029205
Libya,5488.800049,1021.913767,1196.283698,615.626633,451.354057,142.757699,172.258079,1888.563156
Mongolia,5456.200123,904.872775,1458.930612,615.788162,355.703115,263.885736,46.533126,1810.527563
Malaysia,5384.300232,1168.421626,1174.00229,788.511872,596.941531,274.886161,62.163133,1319.420815
Vietnam,5353.499889,718.092382,1253.074765,819.133997,650.835574,136.488721,89.848459,1685.977936
Indonesia,5285.600185,891.720712,1154.800892,610.437036,568.161428,542.646527,38.278613,1479.573488
Ivory Coast,5233.300209,537.094414,799.727261,154.942513,397.122532,169.915587,93.495794,3081.022501
Benin,5216.00008,366.244704,352.428436,328.062952,405.83989,196.670428,125.931874,3440.809727
Maldives,5197.599888,937.864304,1402.287602,914.439559,548.203647,224.198252,71.906492,1098.674774
Congo (Brazzaville),5194.399834,633.616745,757.636011,458.101124,386.514395,117.216013,118.670784,2722.619534
Azerbaijan,5164.800167,990.272701,1180.613041,731.134057,467.734724,40.113214,247.307181,1507.632971
Macedonia,5159.800053,935.371995,1183.173537,802.994132,410.224587,185.86354,24.595059,1617.594957
Ghana,5147.999763,575.862467,966.36796,432.162255,477.290064,261.291206,56.570381,2378.437281
Nepal,5137.199879,444.050372,1100.789309,668.87939,480.608255,300.971806,127.502963,2014.386892
Turkey,5131.800175,1127.169251,1197.159171,781.335294,254.40076,85.885569,120.983243,1564.816713
China,5123.899937,990.533412,1132.080674,867.248535,601.605117,79.021044,117.255554,1336.181879
Turkmenistan,5119.100094,1008.963585,1510.476947,612.448037,515.236676,323.129326,33.50389,1115.337372
Bulgaria,5101.500034,1046.554685,1460.578918,777.776897,417.820066,103.833713,0,1294.961452
Morocco,5094.799995,758.62211,645.208478,745.096922,450.054139,40.032551,77.385604,2378.402472
Cameroon,5084.899902,503.958046,899.72645,270.189553,439.242482,198.020101,54.393422,2719.370842
Venezuela,5053.199768,770.238638,1348.546863,767.02553,271.717221,87.179154,63.624777,1744.84086
Algeria,5005.099773,943.856001,1143.003583,745.418549,83.943799,118.915014,129.190654,1840.811729
Senegal,4980.800152,504.061818,954.59342,518.391907,352.400899,164.397135,81.865937,2405.123949
Guinea,4949.299812,390.007734,751.36596,333.655238,371.878058,249.490842,112.204559,2740.729809
Niger,4909.599781,108.330332,703.800142,298.816353,435.311615,208.176896,137.554765,3017.630577
Laos,4888.599873,714.693844,987.391889,486.378282,612.027287,272.66711,194.273964,1621.152639
Albania,4882.699966,906.653047,830.483913,846.329629,461.945891,171.027765,25.361285,1640.897036
Cambodia,4848.400116,544.634938,1071.426034,587.904334,674.940348,233.342081,72.837502,1663.300037
Bangladesh,4832.799911,556.156278,868.800581,694.940507,604.130566,176.745117,176.735908,1755.261898
Gabon,4829.299927,988.044381,1106.39751,522.574842,369.459897,52.013602,55.804539,1735.027552
South Africa,4814.099789,902.140439,1259.086251,407.034069,434.78182,126.406848,59.50214,1625.117302
Iraq,4784.800053,982.018709,1011.466622,529.350698,283.588052,153.002068,73.164992,1752.173662
Lebanon,4771.500111,889.232516,1192.49332,788.671136,185.51667,158.524141,21.518147,1535.54225
Burkina Faso,4768.700123,302.467644,929.3859,312.833875,322.398156,186.390609,126.408055,2588.826418
